epoch,accuracy,auc,learning_rate,loss,precision,recall,top3_accuracy,val_accuracy,val_auc,val_loss,val_precision,val_recall,val_top3_accuracy
0,0.3058226406574249,0.7446051239967346,0.0009045085171237588,2.422245502471924,0.3375588655471802,0.08297720551490784,0.6988070011138916,0.3780227601528168,0.7804562449455261,2.3285512924194336,0.0,0.0,0.7596017122268677
1,0.34259259700775146,0.7809513807296753,0.0006545084761455655,2.1776862144470215,0.37634408473968506,0.04050925746560097,0.7490206360816956,0.3780227601528168,0.796687662601471,2.1392290592193604,0.0,0.0,0.7596017122268677
2,0.36013177037239075,0.7886208295822144,0.0003454914258327335,2.0666391849517822,0.39198607206344604,0.02003205195069313,0.753917396068573,0.3780227601528168,0.7966876029968262,2.0486936569213867,0.0,0.0,0.7596017122268677
3,0.36360397934913635,0.7901371717453003,9.54914721660316e-05,2.010535955429077,0.37171053886413574,0.010060541331768036,0.7506232261657715,0.3780227601528168,0.7969163060188293,2.0276601314544678,0.0,0.0,0.7596017122268677
4,0.3659188151359558,0.790693998336792,0.0008500000694766641,1.9926756620407104,0.37560975551605225,0.006855413317680359,0.7538283467292786,0.3780227601528168,0.797144889831543,2.0304462909698486,0.0,0.0,0.7596017122268677
5,0.3722400367259979,0.790236234664917,0.0008132568327710032,1.9571884870529175,0.3723653256893158,0.014155982993543148,0.7547186613082886,0.3780227601528168,0.7968146800994873,1.8983423709869385,0.0,0.0,0.7588904500007629
6,0.3712606728076935,0.7935552597045898,0.0007093805470503867,1.8780609369277954,0.34934496879577637,0.007122507318854332,0.7597044110298157,0.3780227601528168,0.7969162464141846,1.8425182104110718,0.0,0.0,0.7596017122268677
7,0.3748219311237335,0.7927416563034058,0.0005563322338275611,1.8238786458969116,0.30882352590560913,0.0018696581246331334,0.753917396068573,0.3780227601528168,0.7970432639122009,1.7874557971954346,0.0,0.0,0.7588904500007629
8,0.37811610102653503,0.7955536842346191,0.00038057545316405594,1.782071828842163,0.4769230782985687,0.002759971423074603,0.7581018805503845,0.3780227601528168,0.7970941066741943,1.7645461559295654,0.0,0.0,0.7596017122268677
9,0.37749287486076355,0.7965988516807556,0.00021249998826533556,1.7499173879623413,0.4166666567325592,0.00044515670742839575,0.7600605487823486,0.3780227601528168,0.7970941066741943,1.7385929822921753,0.0,0.0,0.7588904500007629
10,0.37793803215026855,0.7965999245643616,8.116775279631838e-05,1.7338060140609741,0.5,0.00026709403027780354,0.7582799196243286,0.3780227601528168,0.7970941066741943,1.7317403554916382,0.0,0.0,0.7588904500007629
11,0.37838318943977356,0.7970499992370605,9.287234206567518e-06,1.7281498908996582,0.0,0.0,0.7600605487823486,0.3780227601528168,0.7970941066741943,1.728067398071289,0.0,0.0,0.7596017122268677
12,0.37793803215026855,0.7947859764099121,0.0007189844036474824,1.7282342910766602,0.3076923191547394,0.0003561253543011844,0.7558760643005371,0.3780227601528168,0.797144889831543,1.7326865196228027,0.0,0.0,0.7596017122268677
13,0.3782051205635071,0.7947566509246826,0.0006912683602422476,1.7145872116088867,0.23076923191547394,0.00026709403027780354,0.7605056762695312,0.3780227601528168,0.7970941066741943,1.6905083656311035,0.0,0.0,0.7588904500007629
14,0.3777599632740021,0.7962331771850586,0.0006379836122505367,1.6893887519836426,0.4444444477558136,0.0003561253543011844,0.7593482732772827,0.3780227601528168,0.7970941066741943,1.671911597251892,0.0,0.0,0.7596017122268677
15,0.3784722089767456,0.7962307333946228,0.0005632584798149765,1.6700491905212402,0.0,0.0,0.7577457427978516,0.3780227601528168,0.7970433235168457,1.654586911201477,0.0,0.0,0.7588904500007629
16,0.3784722089767456,0.7965764403343201,0.0004728823550976813,1.6536738872528076,0.0,0.0,0.7631766200065613,0.3780227601528168,0.7970433235168457,1.6430877447128296,0.0,0.0,0.7588904500007629
